n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
25,20,10,1,0.6,50,27,0.0014870166778564,10,15,"['B1', 'A3', 'A5', 'A6', 'A7', 'B3', 'B5', 'B6', 'RMA', 'B8', 'B9', 'A9', 'B10', 'A10', 'A11', 'B12', 'A12', 'B13', 'B14', 'B15', 'A13', 'B17', 'A14', 'B18', 'B19', 'A15', 'B20', 'B21', 'A16', 'A17', 'B22', 'A18', 'A19', 'B23', 'A20', 'A21', 'B24', 'A22', 'B25', 'A23', 'A24', 'A25']","['A1', 'A2', 'A4', 'B2', 'B4', 'B7', 'A8', 'B11', 'B16']"
25,20,10,1,0.6,50,28,0.0013701915740966,47,15,"['A1', 'A2', 'B4', 'B5', 'B6', 'B7', 'B8', 'A6', 'B10', 'B11', 'A10', 'B12', 'A11', 'B13', 'A12', 'B14', 'A15', 'B15', 'B16', 'B17', 'A18', 'B18', 'A19', 'B19', 'A20', 'A21', 'A22', 'B21', 'A23', 'A24', 'A25', 'B22', 'B23', 'B24', 'B25']","['B1', 'B2', 'B3', 'A3', 'A4', 'A5', 'B9', 'A7', 'A8', 'A9', 'A13', 'A14', 'A16', 'A17', 'B20']"
25,20,10,1,0.6,50,29,0.0014998912811279,23,15,"['B1', 'B2', 'B4', 'B5', 'A3', 'B7', 'B8', 'B10', 'B11', 'A6', 'B12', 'RMA', 'A8', 'B13', 'B14', 'A10', 'B15', 'B16', 'A11', 'A12', 'B17', 'A13', 'B18', 'B19', 'B20', 'A14', 'A15', 'A16', 'A17', 'B21', 'B22', 'A18', 'B23', 'B24', 'A20', 'A21', 'A22', 'B25', 'A23', 'A24', 'A25']","['A1', 'B3', 'A2', 'A4', 'B6', 'B9', 'A5', 'A7', 'A9', 'A19']"
25,20,10,2,0.3,50,0,0.0030388832092285,-99999,-99999,[],[]
25,20,10,2,0.3,50,1,0.0028450489044189,-99999,-99999,[],[]
25,20,10,2,0.3,50,2,0.0024633407592773,87,31,"['B2', 'A4', 'B4', 'B7', 'B8', 'B11', 'A7', 'B13', 'B14', 'B15', 'A13', 'A14', 'B16', 'B18', 'B19', 'B20', 'A21', 'A23', 'B21', 'B23', 'B25', 'A25']","['B1', 'A1', 'B3', 'A2', 'A3', 'B5', 'B6', 'B9', 'B10', 'A5', 'A6', 'A8', 'A9', 'A10', 'B12', 'A11', 'A12', 'A15', 'A16', 'A17', 'B17', 'A18', 'A19', 'A20', 'A22', 'B22', 'B24', 'A24']"
25,20,10,2,0.3,50,3,0.0024681091308593,61,31,"['B2', 'B4', 'B5', 'B6', 'A6', 'A8', 'B8', 'A11', 'A12', 'A15', 'B13', 'B14', 'B15', 'A17', 'A18', 'B16', 'B17', 'B19', 'B20', 'B21', 'A24', 'B22', 'B23', 'B25']","['A1', 'A2', 'B1', 'B3', 'A3', 'A4', 'A5', 'A7', 'B7', 'A9', 'B9', 'A10', 'B10', 'B11', 'B12', 'A13', 'A14', 'A16', 'A19', 'A20', 'A21', 'B18', 'A22', 'A23', 'A25', 'B24']"
25,20,10,2,0.3,50,4,0.0027201175689697,114,31,"['RMA', 'B8', 'B9', 'B10', 'B11', 'A10', 'B12', 'B13', 'B14', 'B15', 'A14', 'B16', 'A16', 'B17', 'B18', 'A19', 'B19', 'B20', 'B21', 'A21', 'B22', 'A22', 'A23', 'B24', 'B25', 'A24', 'A25']","['B1', 'A1', 'B2', 'A2', 'A3', 'B3', 'B4', 'B5', 'B6', 'A4', 'A5', 'A6', 'B7', 'A7', 'A8', 'A9', 'A11', 'A12', 'A13', 'A15', 'A17', 'A18', 'A20', 'B23']"
25,20,10,2,0.3,50,5,0.0028297901153564,125,31,"['B2', 'B9', 'B10', 'B11', 'B12', 'B13', 'B14', 'B15', 'B16', 'B17', 'B20', 'B21', 'B22', 'B23', 'B24', 'B25', 'A25']","['A1', 'A2', 'B1', 'A3', 'A4', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'B18', 'A13', 'A14', 'B19', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'A21', 'A22', 'A23', 'A24']"
25,20,10,2,0.3,50,6,0.0026240348815917,98,31,"['B3', 'B4', 'A6', 'B7', 'A7', 'A8', 'B11', 'B13', 'B14', 'B15', 'A16', 'B16', 'B17', 'B18', 'B20', 'B22', 'B23', 'B24', 'A23', 'B25', 'A24']","['B1', 'A1', 'B2', 'A2', 'A3', 'A4', 'A5', 'B5', 'B6', 'B8', 'B9', 'B10', 'A9', 'B12', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A17', 'A18', 'A19', 'A20', 'B19', 'B21', 'A21', 'A22', 'A25']"
