n_sim,p_max,w_max,alpha,beta,T,seed,time,obj,schedule,deferred
25,20,10,0,0.3,50,21,0.0486948490142822,163,"['B2', 'A1', 'A3', 'A5', 'B6', 'B9', 'A7', 'A9', 'A10', 'A11', 'A13', 'A15', 'B11', 'A18', 'A19', 'A21', 'A22', 'A24', 'A25', 'B25']","['B1', 'A2', 'B3', 'B4', 'B5', 'A4', 'A6', 'B7', 'B8', 'A8', 'B10', 'A12', 'A14', 'B12', 'A16', 'B13', 'B14', 'A17', 'A20', 'B15', 'B16', 'B17', 'B18', 'B19', 'B20', 'B21', 'B22', 'A23', 'B23', 'B24']"
25,20,10,0,0.3,50,22,0.0554890632629394,425,"['A5', 'A7', 'A11', 'A14', 'A16', 'A17', 'A18', 'A19', 'A20', 'B21', 'A22', 'B23', 'B25', 'A23', 'A24', 'A25']","['A1', 'A2', 'B1', 'A3', 'B2', 'A4', 'B3', 'B4', 'B5', 'A6', 'A8', 'A9', 'A10', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'A12', 'A13', 'B12', 'B13', 'B14', 'A15', 'B15', 'B16', 'B17', 'B18', 'B19', 'B20', 'A21', 'B22', 'B24']"
25,20,10,0,0.3,50,23,0.0573148727416992,473,"['A3', 'A6', 'A8', 'A10', 'A15', 'A16', 'B11', 'A17', 'A19', 'A20', 'A21', 'A22', 'B22', 'B23', 'A24', 'A25']","['B1', 'A1', 'A2', 'B2', 'B3', 'A4', 'A5', 'B4', 'A7', 'A9', 'B5', 'A11', 'A12', 'B6', 'A13', 'B7', 'B8', 'A14', 'B9', 'B10', 'B12', 'B13', 'B14', 'B15', 'A18', 'B16', 'B17', 'B18', 'A23', 'B19', 'B20', 'B21', 'B24', 'B25']"
25,20,10,0,0.3,50,24,0.0490345954895019,300,"['A1', 'A5', 'A9', 'A14', 'B12', 'B14', 'B15', 'A16', 'A18', 'B16', 'A20', 'A21', 'A22', 'A23', 'B22', 'A24', 'B25', 'A25']","['B1', 'B2', 'B3', 'A2', 'B4', 'B5', 'B6', 'A3', 'B7', 'A4', 'A6', 'B8', 'A7', 'A8', 'B9', 'B10', 'A10', 'A11', 'A12', 'B11', 'A13', 'B13', 'A15', 'A17', 'A19', 'B17', 'B18', 'B19', 'B20', 'B21', 'B23', 'B24']"
25,20,10,0,0.3,50,25,0.047292947769165,221,"['B1', 'B4', 'A3', 'A4', 'A7', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'B20', 'A15', 'A16', 'A18', 'B22', 'A21', 'B25', 'A23', 'A24', 'A25']","['B2', 'A1', 'B3', 'A2', 'B5', 'A5', 'A6', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'A8', 'B12', 'B13', 'B14', 'B15', 'B16', 'B17', 'B18', 'B19', 'A17', 'B21', 'A19', 'A20', 'B23', 'B24', 'A22']"
25,20,10,0,0.3,50,26,0.0525639057159423,352,"['A5', 'A7', 'A9', 'A11', 'A13', 'A14', 'A15', 'A16', 'A18', 'B21', 'A20', 'A21', 'A23', 'A24', 'A25']","['A1', 'B1', 'B2', 'A2', 'A3', 'B3', 'B4', 'A4', 'B5', 'B6', 'B7', 'A6', 'B8', 'B9', 'A8', 'B10', 'B11', 'A10', 'B12', 'B13', 'A12', 'B14', 'B15', 'B16', 'B17', 'B18', 'B19', 'B20', 'A17', 'B22', 'A19', 'B23', 'A22', 'B24', 'B25']"
25,20,10,0,0.3,50,27,0.0520448684692382,198,"['A1', 'A5', 'A6', 'A10', 'A12', 'A14', 'B8', 'B9', 'A17', 'B11', 'B13', 'B14', 'A19', 'B17', 'A20', 'B21', 'B23', 'A22', 'A23', 'A24']","['A2', 'B1', 'B2', 'A3', 'A4', 'B3', 'A7', 'A8', 'A9', 'B4', 'B5', 'A11', 'B6', 'A13', 'B7', 'A15', 'A16', 'B10', 'B12', 'A18', 'B15', 'B16', 'B18', 'B19', 'B20', 'A21', 'B22', 'B24', 'B25', 'A25']"
25,20,10,0,0.3,50,28,0.043281078338623,207,"['A1', 'A2', 'A3', 'B8', 'A6', 'B12', 'A7', 'A10', 'B14', 'A11', 'A12', 'A14', 'A16', 'B20', 'B21', 'A18', 'A19', 'A22', 'A23', 'A25']","['B1', 'B2', 'A4', 'B3', 'A5', 'B4', 'B5', 'B6', 'B7', 'B9', 'B10', 'B11', 'A8', 'A9', 'B13', 'B15', 'B16', 'A13', 'B17', 'B18', 'B19', 'A15', 'A17', 'A20', 'B22', 'A21', 'B23', 'A24', 'B24', 'B25']"
25,20,10,0,0.3,50,29,0.0504469871520996,364,"['A2', 'A6', 'A9', 'B7', 'A11', 'B14', 'B15', 'B16', 'A17', 'A18', 'B21', 'A20', 'A21', 'A22', 'A23', 'A24', 'B24', 'B25']","['B1', 'A1', 'B2', 'B3', 'A3', 'A4', 'B4', 'B5', 'A5', 'A7', 'A8', 'B6', 'A10', 'A12', 'B8', 'B9', 'A13', 'B10', 'B11', 'B12', 'B13', 'A14', 'A15', 'A16', 'B17', 'B18', 'B19', 'A19', 'B20', 'B22', 'B23', 'A25']"
25,20,10,0,0.6,50,0,0.0499248504638671,73,"['A1', 'A2', 'A3', 'A4', 'RMA', 'B8', 'A7', 'B10', 'B11', 'B13', 'A8', 'A9', 'A10', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'B15', 'A17', 'A18', 'B16', 'B17', 'A19', 'A20', 'B18', 'B19', 'B20', 'A21', 'B21', 'A22', 'A23', 'B22', 'B23', 'A24', 'A25', 'B24', 'B25']","['B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'A5', 'A6', 'B7', 'B9', 'B12', 'B14']"
25,20,10,0,0.6,50,1,0.0417349338531494,54,"['B4', 'A1', 'B8', 'A2', 'A3', 'B9', 'B10', 'B11', 'B13', 'B14', 'A5', 'RMA', 'A6', 'A7', 'A8', 'B16', 'B17', 'B18', 'A9', 'A10', 'B19', 'B20', 'B21', 'A11', 'A12', 'B22', 'A13', 'A14', 'A15', 'A16', 'A17', 'A18', 'B23', 'A19', 'B25', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['B1', 'B2', 'B3', 'B5', 'B6', 'B7', 'A4', 'B12', 'B15', 'B24']"
25,20,10,0,0.6,50,2,0.0454881191253662,19,"['A1', 'B2', 'A3', 'A4', 'B3', 'RMA', 'A5', 'B4', 'A6', 'B5', 'A7', 'A8', 'A9', 'A10', 'B7', 'B8', 'A11', 'B9', 'B10', 'A12', 'B11', 'A13', 'B13', 'B14', 'B15', 'B16', 'B17', 'A14', 'A15', 'A16', 'A17', 'A18', 'B18', 'A19', 'B19', 'B20', 'A20', 'B21', 'B22', 'A21', 'A22', 'B24', 'A23', 'A24', 'B25', 'A25']","['A2', 'B1', 'B6', 'B12', 'B23']"
25,20,10,0,0.6,50,3,0.04398775100708,89,"['A1', 'A2', 'B2', 'A3', 'B5', 'RMA', 'A4', 'A5', 'A6', 'A7', 'B6', 'B8', 'B9', 'A8', 'A9', 'B10', 'B11', 'A10', 'A11', 'A12', 'A13', 'B12', 'B13', 'B14', 'B15', 'B16', 'B17', 'A14', 'A15', 'A16', 'A17', 'B18', 'B19', 'A18', 'B20', 'B21', 'B22', 'A19', 'B23', 'A20', 'B24', 'A21', 'A22', 'B25', 'A23', 'A24', 'A25']","['B1', 'B3', 'B4', 'B7']"
25,20,10,0,0.6,50,4,0.0508251190185546,65,"['A2', 'A3', 'A4', 'A5', 'RMA', 'A7', 'A8', 'A9', 'A10', 'A11', 'A12', 'B9', 'B10', 'B11', 'A13', 'A14', 'B12', 'B13', 'A15', 'B14', 'A16', 'B15', 'A17', 'A18', 'A19', 'A20', 'A21', 'A22', 'B16', 'B17', 'B18', 'B19', 'B20', 'B21', 'B22', 'B23', 'B24', 'A23', 'B25', 'A24', 'A25']","['A1', 'B1', 'B2', 'B3', 'B4', 'A6', 'B5', 'B6', 'B7', 'B8']"
25,20,10,0,0.6,50,5,0.0547118186950683,39,"['A1', 'A2', 'B2', 'A4', 'RMA', 'B6', 'A7', 'A8', 'A10', 'A11', 'A12', 'B10', 'A13', 'B11', 'B12', 'A14', 'A15', 'B13', 'A17', 'B14', 'B15', 'B16', 'B17', 'A18', 'B20', 'A19', 'A20', 'B21', 'A21', 'A22', 'B22', 'A23', 'B23', 'B24', 'B25', 'A24', 'A25']","['B1', 'A3', 'B3', 'A5', 'B4', 'B5', 'A6', 'B7', 'B8', 'B9', 'A9', 'A16', 'B18', 'B19']"
25,20,10,0,0.6,50,6,0.0525708198547363,130,"['A3', 'A4', 'B1', 'A5', 'B3', 'A7', 'A9', 'A11', 'A12', 'B11', 'A13', 'A14', 'A15', 'A16', 'A17', 'A18', 'B12', 'B16', 'A19', 'B17', 'B18', 'A20', 'A21', 'A22', 'A23', 'B22', 'B23', 'A24', 'B24', 'B25', 'A25']","['A1', 'A2', 'B2', 'A6', 'B4', 'A8', 'A10', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B13', 'B14', 'B15', 'B19', 'B20', 'B21']"
