n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
10,20,10,2,0.3,50,26,0.0570220947265625,245,11,"['A1', 'B4', 'B5', 'B6', 'A10', 'B7', 'B9', 'B10']","['B1', 'B2', 'B3', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'B8']"
10,20,10,2,0.3,50,27,0.0485420227050781,-99999,-99999,[],[]
10,20,10,2,0.3,50,28,0.0415148735046386,-99999,-99999,[],[]
10,20,10,2,0.3,50,29,0.049077033996582,-99999,-99999,[],[]
10,20,10,2,0.6,50,0,0.0404689311981201,184,12,"['B1', 'B4', 'A5', 'B5', 'B6', 'B7', 'B8', 'B9', 'A9', 'B10', 'A10']","['A1', 'B2', 'B3', 'A2', 'A3', 'A4', 'A6', 'A7', 'A8']"
10,20,10,2,0.6,50,1,0.0409722328186035,125,12,"['B3', 'B4', 'B5', 'B7', 'B8', 'A6', 'A7', 'A8', 'A9', 'A10', 'B10']","['B1', 'A1', 'B2', 'A2', 'A3', 'A4', 'B6', 'A5', 'B9']"
10,20,10,2,0.6,50,2,0.0527758598327636,214,12,"['B2', 'B3', 'B4', 'A7', 'B5', 'B6', 'B7', 'A9', 'B9', 'A10', 'B10']","['B1', 'A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A8', 'B8']"
10,20,10,2,0.6,50,3,0.0447649955749511,18,10,"['A1', 'B3', 'A2', 'B4', 'B5', 'A7', 'B9', 'A8', 'A9', 'B10', 'A10']","['B1', 'B2', 'A3', 'A4', 'B6', 'A5', 'B7', 'A6', 'B8']"
10,20,10,2,0.6,50,4,0.0544462203979492,121,12,"['B2', 'A4', 'A5', 'A6', 'B4', 'A8', 'B5', 'A9', 'B7', 'A10', 'B8']","['A1', 'B1', 'A2', 'A3', 'B3', 'A7', 'B6', 'B9', 'B10']"
10,20,10,2,0.6,50,5,0.0563161373138427,261,12,"['A4', 'B1', 'B2', 'B4', 'A5', 'A6', 'B7', 'A9', 'B8', 'A10', 'B9', 'B10']","['A1', 'A2', 'A3', 'B3', 'B5', 'B6', 'A7', 'A8']"
10,20,10,2,0.6,50,6,0.049429178237915,92,12,"['A2', 'B3', 'B4', 'B8', 'B9', 'B10', 'A7', 'A8', 'A9', 'A10']","['B1', 'A1', 'B2', 'A3', 'A4', 'B5', 'B6', 'B7', 'A5', 'A6']"
10,20,10,2,0.6,50,7,0.0557539463043212,-99999,-99999,[],[]
10,20,10,2,0.6,50,8,0.054642915725708,62,10,"['A2', 'RMA', 'B3', 'A5', 'A6', 'B5', 'B6', 'A7', 'B7', 'B8', 'A8', 'B9', 'B10', 'A10']","['A1', 'B1', 'B2', 'A3', 'A4', 'B4', 'A9']"
10,20,10,2,0.6,50,9,0.0521039962768554,145,10,"['A3', 'B2', 'B3', 'A7', 'A9', 'B4', 'B5', 'B7', 'B8', 'A10', 'B9', 'B10']","['B1', 'A1', 'A2', 'A4', 'A5', 'A6', 'A8', 'B6']"
10,20,10,2,0.6,50,10,0.0620932579040527,484,11,"['B2', 'B3', 'B5', 'B6', 'A8', 'B7', 'A10', 'B8', 'B9', 'B10']","['B1', 'A1', 'A2', 'B4', 'A3', 'A4', 'A5', 'A6', 'A7', 'A9']"
10,20,10,2,0.6,50,11,0.0504088401794433,86,12,"['B2', 'A2', 'A4', 'B6', 'B7', 'B8', 'A7', 'A8', 'A9', 'A10', 'B9', 'B10']","['B1', 'A1', 'B3', 'B4', 'A3', 'B5', 'A5', 'A6']"
10,20,10,2,0.6,50,12,0.0505168437957763,9,12,"['A3', 'B3', 'A4', 'A5', 'B4', 'B5', 'A6', 'A7', 'B7', 'B8', 'A8', 'A9', 'B10']","['B1', 'A1', 'A2', 'B2', 'B6', 'B9', 'A10']"
10,20,10,2,0.6,50,13,0.045149803161621,196,10,"['B2', 'A3', 'B3', 'B4', 'B5', 'B6', 'B7', 'B8', 'A6', 'A7', 'A8', 'B9', 'B10', 'A10']","['A1', 'B1', 'A2', 'A4', 'A5', 'A9']"
10,20,10,2,0.6,50,14,0.050704002380371,182,12,"['B2', 'B3', 'B4', 'B5', 'A5', 'A6', 'B6', 'A8', 'B7', 'B8', 'A9', 'B10']","['B1', 'A1', 'A2', 'A3', 'A4', 'A7', 'B9', 'A10']"
