n_sim,p_max,w_max,alpha,beta,T,seed,time,obj,constr,schedule,deferred
40,30,10,2,0.6,50,3,116.6551013,62,375,"['B1', 'A3', 'A4', 'A5', 'B4', 'A6', 'A7', 'A8', 'B7', 'A9', 'A10', 'RMA', 'A11', 'A12', 'B9', 'B10', 'B11', 'A13', 'B12', 'A14', 'A15', 'A16', 'A17', 'A18', 'B15', 'A19', 'A20', 'A21', 'B16', 'B17', 'A22', 'B20', 'B21', 'A23', 'A24', 'B22', 'A25', 'A26', 'B23', 'B24', 'B25', 'A27', 'A28', 'A29', 'A30', 'A31', 'B28', 'B29', 'A32', 'B31', 'B32', 'A33', 'B33', 'A34', 'B35', 'B36', 'A35', 'A36', 'B37', 'A37', 'A38', 'A39', 'B38', 'B39', 'A40']","['A1', 'A2', 'B2', 'B3', 'B5', 'B6', 'B8', 'B13', 'B14', 'B18', 'B19', 'B26', 'B27', 'B30', 'B34', 'B40']"
40,30,10,2,0.6,50,4,116.8205922,310,374,"['A1', 'A4', 'A5', 'A6', 'RMA', 'A7', 'B6', 'B7', 'B9', 'B10', 'A8', 'B11', 'A9', 'A10', 'B12', 'B14', 'A11', 'B15', 'A12', 'B16', 'B17', 'A13', 'B18', 'A14', 'B19', 'A15', 'A16', 'A17', 'A18', 'A19', 'B20', 'B21', 'A20', 'A21', 'B22', 'A22', 'B23', 'B24', 'A23', 'B25', 'A24', 'A25', 'B27', 'A26', 'B28', 'A27', 'B29', 'A28', 'A29', 'B30', 'A30', 'B31', 'B32', 'A31', 'A32', 'B33', 'A33', 'B35', 'B36', 'B37', 'A34', 'A35', 'A36', 'A37', 'A38', 'A39', 'A40', 'B38', 'B39', 'B40']","['B1', 'B2', 'A2', 'B3', 'B4', 'A3', 'B5', 'B8', 'B13', 'B26', 'B34']"
40,30,10,2,0.6,50,5,124.0490942,17,373,"['A2', 'B2', 'A4', 'A5', 'A6', 'B6', 'A7', 'A8', 'A9', 'A10', 'A11', 'B14', 'B15', 'RMA', 'B16', 'A12', 'A13', 'B18', 'A14', 'A15', 'A16', 'A17', 'B19', 'B20', 'B21', 'A18', 'B22', 'A19', 'A20', 'B23', 'B24', 'B26', 'A21', 'B29', 'A22', 'A23', 'A24', 'A25', 'A26', 'A27', 'A28', 'A29', 'A30', 'A31', 'A32', 'A33', 'A34', 'A35', 'B31', 'A36', 'A37', 'B33', 'A38', 'B34', 'B35', 'A39', 'B36', 'B37', 'B39', 'A40']","['A1', 'B1', 'A3', 'B3', 'B4', 'B5', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13', 'B17', 'B25', 'B27', 'B28', 'B30', 'B32', 'B38', 'B40']"
40,30,10,2,0.6,50,6,117.0069532,111,375,"['A2', 'A3', 'A4', 'A6', 'A7', 'A8', 'A9', 'A10', 'B7', 'B10', 'A11', 'RMA', 'A12', 'A13', 'B13', 'A14', 'A15', 'A16', 'A17', 'B14', 'A18', 'A19', 'A20', 'B15', 'B16', 'B17', 'A21', 'B18', 'A22', 'B19', 'B20', 'A23', 'B21', 'A24', 'B22', 'A25', 'A26', 'A27', 'B23', 'B24', 'B25', 'B26', 'A28', 'B27', 'B29', 'A29', 'A30', 'B30', 'B31', 'A31', 'B32', 'B33', 'B34', 'A32', 'A33', 'B36', 'B37', 'A34', 'A35', 'A36', 'A37', 'A38', 'B38', 'B39', 'A39', 'A40', 'B40']","['B1', 'A1', 'B2', 'B3', 'B4', 'B5', 'B6', 'A5', 'B8', 'B9', 'B11', 'B12', 'B28', 'B35']"
40,30,10,2,0.6,50,7,134.4832022,286,372,"['A3', 'A7', 'A8', 'A9', 'A10', 'A12', 'B6', 'A15', 'A17', 'A18', 'A19', 'B13', 'A20', 'RMA', 'B14', 'A21', 'B19', 'B20', 'A22', 'B21', 'A23', 'B23', 'A24', 'A25', 'B24', 'B25', 'B26', 'A26', 'A27', 'A28', 'A29', 'B29', 'A30', 'A31', 'A32', 'B30', 'A33', 'B31', 'B32', 'A34', 'A35', 'A36', 'B33', 'B34', 'A37', 'A38', 'A39', 'B35', 'B36', 'B37', 'B38', 'A40', 'B39', 'B40']","['A1', 'B1', 'A2', 'B2', 'A4', 'A5', 'A6', 'B3', 'B4', 'A11', 'A13', 'A14', 'B5', 'A16', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B15', 'B16', 'B17', 'B18', 'B22', 'B27', 'B28']"
40,30,10,2,0.6,50,8,121.800529,0,373,"['A1', 'B5', 'B7', 'RMA', 'A2', 'A3', 'B8', 'B9', 'A4', 'B10', 'B11', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'B12', 'B14', 'A11', 'A12', 'A13', 'A14', 'B18', 'B20', 'B21', 'B23', 'B25', 'B26', 'A15', 'A16', 'A17', 'A18', 'B27', 'A19', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25', 'A26', 'B29', 'A27', 'A28', 'A29', 'B32', 'A30', 'A31', 'A32', 'B33', 'A33', 'B35', 'B36', 'B38', 'A34', 'A35', 'B39', 'A36', 'A37', 'A38', 'A39', 'B40', 'A40']","['B1', 'B2', 'B3', 'B4', 'B6', 'B13', 'B15', 'B16', 'B17', 'B19', 'B22', 'B24', 'B28', 'B30', 'B31', 'B34', 'B37']"
40,30,10,2,0.6,50,9,144.8590641,225,374,"['B4', 'A6', 'B5', 'B6', 'A7', 'B8', 'RMA', 'B9', 'A10', 'B10', 'A11', 'B11', 'A12', 'A13', 'B13', 'B14', 'B15', 'B16', 'A14', 'B17', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'A21', 'B18', 'A22', 'B19', 'B20', 'A23', 'B21', 'A24', 'B22', 'A25', 'A26', 'A27', 'A28', 'A29', 'B24', 'A30', 'A31', 'A32', 'B25', 'B26', 'A33', 'B27', 'B28', 'B29', 'B30', 'B31', 'A34', 'A35', 'A36', 'B32', 'B33', 'A37', 'A38', 'A39', 'B34', 'B35', 'A40', 'B37', 'B38', 'B39', 'B40']","['A1', 'B1', 'A2', 'B2', 'A3', 'A4', 'A5', 'B3', 'B7', 'A8', 'A9', 'B12', 'B23', 'B36']"
40,30,10,2,0.6,50,10,136.3932869,12,373,"['A2', 'A3', 'A5', 'RMA', 'A6', 'A7', 'A8', 'A9', 'B6', 'A10', 'A11', 'A12', 'A13', 'B8', 'A14', 'A15', 'A16', 'B13', 'B14', 'A17', 'A18', 'A19', 'B16', 'A20', 'B17', 'A21', 'B18', 'B19', 'A22', 'B20', 'A23', 'A24', 'B21', 'A25', 'A26', 'A27', 'B26', 'A28', 'A29', 'A30', 'B28', 'A31', 'B30', 'A32', 'B31', 'A33', 'B33', 'A34', 'A35', 'A36', 'A37', 'B36', 'A38', 'B39', 'A39', 'A40']","['B1', 'A1', 'B2', 'B3', 'A4', 'B4', 'B5', 'B7', 'B9', 'B10', 'B11', 'B12', 'B15', 'B22', 'B23', 'B24', 'B25', 'B27', 'B29', 'B32', 'B34', 'B35', 'B37', 'B38', 'B40']"
40,30,10,2,0.6,50,11,123.9839759,86,375,"['A1', 'B6', 'RMA', 'A3', 'B8', 'A4', 'B10', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10', 'B13', 'A11', 'A12', 'A13', 'A14', 'B14', 'B15', 'A15', 'A16', 'A17', 'B16', 'A18', 'A19', 'A20', 'B17', 'A21', 'A22', 'B18', 'B19', 'B20', 'A23', 'B23', 'B26', 'A24', 'A25', 'B27', 'A26', 'B28', 'B29', 'B30', 'A27', 'B32', 'A28', 'A29', 'A30', 'A31', 'B33', 'A32', 'A33', 'B34', 'A34', 'A35', 'B35', 'B36', 'A36', 'A37', 'B37', 'A38', 'A39', 'A40', 'B38', 'B39']","['B1', 'A2', 'B2', 'B3', 'B4', 'B5', 'B7', 'B9', 'B11', 'B12', 'B21', 'B22', 'B24', 'B25', 'B31', 'B40']"
40,30,10,2,0.6,50,12,122.2545359,19,375,"['B1', 'A2', 'A3', 'A4', 'A5', 'B4', 'RMA', 'B13', 'A7', 'A8', 'A9', 'B17', 'B18', 'B19', 'A10', 'B20', 'A11', 'B21', 'A12', 'A13', 'B22', 'A14', 'A15', 'A16', 'B23', 'A17', 'A18', 'A19', 'A20', 'A21', 'A22', 'A23', 'B25', 'B26', 'B27', 'A24', 'A25', 'A26', 'A27', 'B28', 'A28', 'B29', 'A29', 'B30', 'A30', 'A31', 'B31', 'A32', 'B32', 'B33', 'B34', 'A33', 'A34', 'A35', 'A36', 'A37', 'B37', 'A38', 'B38', 'B39', 'A39', 'B40', 'A40']","['A1', 'B2', 'B3', 'A6', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B14', 'B15', 'B16', 'B24', 'B35', 'B36']"
40,30,10,2,0.6,50,13,135.8643959,299,372,"['A3', 'B3', 'A6', 'A8', 'A9', 'RMA', 'A11', 'B10', 'A12', 'B11', 'A13', 'A14', 'A15', 'B14', 'A16', 'A17', 'A18', 'A19', 'B15', 'B16', 'B17', 'B18', 'B19', 'B20', 'B21', 'A20', 'A21', 'A22', 'A23', 'B24', 'A24', 'A25', 'A26', 'A27', 'A28', 'B25', 'A29', 'B26', 'B27', 'B28', 'B29', 'B30', 'B31', 'A30', 'A31', 'A32', 'A33', 'B32', 'A34', 'B34', 'B35', 'A35', 'B36', 'B37', 'B38', 'A36', 'A37', 'A38', 'B39', 'B40', 'A39', 'A40']","['A1', 'B1', 'A2', 'B2', 'A4', 'A5', 'A7', 'B4', 'B5', 'B6', 'B7', 'A10', 'B8', 'B9', 'B12', 'B13', 'B22', 'B23', 'B33']"
40,30,10,2,0.6,50,14,124.3561499,157,375,"['A2', 'A3', 'B3', 'B4', 'A6', 'A8', 'B7', 'A9', 'A10', 'A11', 'A12', 'A13', 'B15', 'A14', 'A15', 'B16', 'RMA', 'A16', 'B18', 'B19', 'A17', 'A18', 'A19', 'A20', 'B21', 'A21', 'B22', 'A22', 'A23', 'A24', 'B23', 'A25', 'A26', 'B24', 'A27', 'A28', 'A29', 'B25', 'B26', 'A30', 'B27', 'B28', 'B29', 'A31', 'B30', 'B31', 'A32', 'A33', 'A34', 'B32', 'B33', 'B34', 'A35', 'B35', 'B36', 'A36', 'B37', 'A37', 'B38', 'A38', 'A39', 'A40']","['B1', 'A1', 'B2', 'A4', 'B5', 'A5', 'A7', 'B6', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13', 'B14', 'B17', 'B20', 'B39', 'B40']"
